urban_area,year,team,response_name,urban_scale,p_in_UC_DUC,mean_yday,mean_yday_prop,yi_baseline,vi_baseline,yi_spatial,vi_spatial,AIC_baseline,AICc_baseline,AIC_spatial,is.autocor.spatial,N_complete_obs,EStype
Aarhus,2020,1,spider_length,50,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.56834938935968,0.012195121951219513,-0.029157164044537054,0.012658227848101266,220.11899821624976,220.41529451254607,217.3121843667052,FALSE,85,ZPCOR
Aarhus,2020,1,spider_length,100,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.5855917071494726,0.012195121951219513,-0.3045267742553287,0.012658227848101266,218.59345630930991,218.88975260560622,216.74114139747547,FALSE,85,ZPCOR
Aarhus,2020,1,spider_length,200,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.6434645232276922,0.012195121951219513,-0.4564722633618971,0.012658227848101266,213.20989821619244,213.50619451248875,210.4180568588049,FALSE,85,ZPCOR
Aarhus,2020,1,spider_length,300,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.6343179731822053,0.012195121951219513,-0.4112839786536182,0.012658227848101266,214.08708939635397,214.38338569265028,210.46670065969278,TRUE,85,ZPCOR
Aarhus,2020,1,spider_length,400,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.6110017348105881,0.012195121951219513,-0.37776081082111984,0.012658227848101266,216.27888988683011,216.57518618312642,211.30935216680257,TRUE,85,ZPCOR
Aarhus,2020,1,spider_length,500,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.6066546781441458,0.012195121951219513,-0.36138384480345637,0.012658227848101266,216.6803892111187,216.976685507415,211.22763208011548,TRUE,85,ZPCOR
Aarhus,2020,1,spider_length,600,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.6005275982352911,0.012195121951219513,-0.3269433731456606,0.012658227848101266,217.2424372707063,217.5387335670026,211.22304097281665,TRUE,85,ZPCOR
Aarhus,2020,1,spider_length,700,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.6047014274012685,0.012195121951219513,-0.32616301525405694,0.012658227848101266,216.86005541436504,217.15635171066134,211.26784292651416,TRUE,85,ZPCOR
Aarhus,2020,1,spider_length,800,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.6040721718840807,0.012195121951219513,-0.3241463933118504,0.012658227848101266,216.9178385873858,217.2141348836821,210.97765539762463,TRUE,85,ZPCOR
Aarhus,2020,1,spider_length,900,0.9411764705882353,257.77647058823527,0.7043072966891675,-0.5972777732698141,0.012195121951219513,-0.31102255710892834,0.012658227848101266,217.53870935387974,217.83500565017604,211.54553685816643,TRUE,85,ZPCOR
