ID,LOCATION,DATE,LATITUDE,LONGITUDE,spider_length,abdomen_length,abdomen_area,radius,mesh_size
10.1.2020,AARHUS,2020-09-14T00:00:00Z,56.14528,10.18722,10.545,8.733,45.845,NA,NA
11.1.2020,AARHUS,2020-09-14T00:00:00Z,56.14389,10.18472,12.217,9.771,57.274,15,0.3125
11.2.2020,AARHUS,2020-09-14T00:00:00Z,56.14389,10.18472,8.82,6.437,21.543,14,0.274509804
12.1.2020,AARHUS,2020-09-14T00:00:00Z,56.14278,10.18222,11.327,8.115,39.962,11,0.314285714
12.2.2020,AARHUS,2020-09-14T00:00:00Z,56.14278,10.18222,9.691,7.626,39.135,13,0.317073171
12.3.2020,AARHUS,2020-09-14T00:00:00Z,56.14278,10.18222,9.327,6.865,28.549,NA,NA
13.1.2020,AARHUS,2020-09-14T00:00:00Z,56.14139,10.18,9.73,7.934,36.704,15,0.365853659
13.2.2020,AARHUS,2020-09-14T00:00:00Z,56.14139,10.18,9.393,8.091,37.849,12,0.363636364
13.3.2020,AARHUS,2020-09-14T00:00:00Z,56.14139,10.18,NA,NA,NA,11,0.5
14.1.2020,AARHUS,2020-09-14T00:00:00Z,56.14028,10.1775,9.49,6.993,34.793,13,0.30952381
14.2.2020,AARHUS,2020-09-14T00:00:00Z,56.14028,10.1775,9.407,7.276,33.121,11,0.423076923
14.3.2020,AARHUS,2020-09-14T00:00:00Z,56.14028,10.1775,7.637,5.843,23.207,NA,NA
15.1.2020,AARHUS,2020-09-14T00:00:00Z,56.13917,10.17472,9.298,7.926,39.014,9.5,0.263888889
15.2.2020,AARHUS,2020-09-14T00:00:00Z,56.13917,10.17472,NA,NA,NA,19,0.558823529
15.3.2020,AARHUS,2020-09-14T00:00:00Z,56.13917,10.17472,7.556,5.504,18.19,13,0.619047619
16.1.2020,AARHUS,2020-09-14T00:00:00Z,56.13833,10.17222,10.057,8.2,45.957,13,0.448275862
16.2.2020,AARHUS,2020-09-14T00:00:00Z,56.13833,10.17222,9.1,6.744,23.559,12,0.4
16.3.2020,AARHUS,2020-09-14T00:00:00Z,56.13833,10.17222,11.093,9.505,42.096,7.5,0.394736842
17.1.2020,AARHUS,2020-09-14T00:00:00Z,56.1375,10.16944,NA,NA,NA,10,0.256410256
17.2.2020,AARHUS,2020-09-14T00:00:00Z,56.1375,10.16944,8.752,6.203,21.083,9,0.28125
17.3.2020,AARHUS,2020-09-14T00:00:00Z,56.1375,10.16944,9.161,7.309,32.488,10,0.416666667
18.1.2020,AARHUS,2020-09-14T00:00:00Z,56.13667,10.16667,8.186,6.098,19.415,NA,NA
18.2.2020,AARHUS,2020-09-14T00:00:00Z,56.13667,10.16667,7.938,5.156,18.125,10.5,0.3
19.1.2020,AARHUS,2020-09-14T00:00:00Z,56.13583,10.16389,8.435,6.824,NA,13.5,0.346153846
19.2.2020,AARHUS,2020-09-14T00:00:00Z,56.13583,10.16389,8.44,6.269,28.111,5.5,0.289473684
2.1.2020,AARHUS,2020-09-09T00:00:00Z,56.15472,10.20611,7.186,4.387,10.67,7,0.636363636
20.1.2020,AARHUS,2020-09-15T00:00:00Z,56.135,10.16083,8.177,6.601,NA,9.5,0.263888889
21.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13528,10.15778,13.208,11.619,81.459,21.5,0.352459016
21.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13528,10.15778,NA,NA,NA,13,0.481481481
21.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13528,10.15778,11.397,8.945,53.793,14.5,0.414285714
22.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13472,10.15444,11.25,7.266,33.617,13,0.590909091
22.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13472,10.15444,9.654,7.961,40.74,18,0.310344828
22.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13472,10.15444,10.03,7.687,37.369,9.5,0.263888889
23.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13639,10.15361,10.111,8.296,41.778,11,0.647058824
23.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13639,10.15361,10.207,7.59,39.333,16,0.307692308
23.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13639,10.15361,10.468,8.081,39.683,11,0.20754717
24.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13639,10.15056,9.853,7.053,31.492,15,0.272727273
24.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13639,10.15056,11.782,9.559,60.63,17,0.894736842
24.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13639,10.15056,8.847,6.506,30.492,11.5,0.2875
25.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13667,10.1475,9.931,8.166,38.953,10,0.434782609
25.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13667,10.1475,10.132,7.933,38.302,14,0.56
25.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13667,10.1475,9.29,6.609,32.685,8,0.421052632
26.1.2020,AARHUS,2020-09-15T00:00:00Z,56.1375,10.14472,9.12,7.217,31.858,11,0.379310345
26.2.2020,AARHUS,2020-09-15T00:00:00Z,56.1375,10.14472,11.102,9.424,59.436,8,0.32
26.3.2020,AARHUS,2020-09-15T00:00:00Z,56.1375,10.14472,9.03,6.63,33.028,11,0.34375
27.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13722,10.14139,10.232,7.968,39.496,11,0.255813953
27.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13722,10.14139,11.502,9.393,62.1,18.5,0.44047619
27.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13722,10.14139,12.689,11.489,72.306,5,0.263157895
28.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13583,10.13944,10.499,9.253,56.061,12,0.342857143
28.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13583,10.13944,12.02,10.367,NA,8,0.266666667
28.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13583,10.13944,12.219,9.159,63.226,7,0.291666667
29.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13444,10.13667,12.862,10.558,72.36,18,0.391304348
29.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13444,10.13667,13.004,11.24,90.849,13,0.448275862
3.1.2020,AARHUS,2020-09-08T00:00:00Z,56.15361,10.20389,8.508,6.96,NA,9,0.3
3.2.2020,AARHUS,2020-09-08T00:00:00Z,56.15361,10.20389,8.609,5.397,22.732,NA,NA
3.3.2020,AARHUS,2020-09-08T00:00:00Z,56.15361,10.20389,8.404,6.059,27.615,7.5,0.46875
30.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13389,10.13444,13.445,12.89,108.414,10,0.322580645
30.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13389,10.13444,14.66,12.38,96.171,10.5,0.617647059
31.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13472,10.13139,13.429,12.723,97.458,8,0.275862069
31.2.2020,AARHUS,2020-09-15T00:00:00Z,56.13472,10.13139,11.824,10.42,72.535,14,0.466666667
31.3.2020,AARHUS,2020-09-15T00:00:00Z,56.13472,10.13139,11.62,9.883,67.16,9.5,0.5
32.1.2020,AARHUS,2020-09-15T00:00:00Z,56.13583,10.12917,12.259,10.839,66.903,6.5,0.224137931
33.1.2020,AARHUS,2020-09-16T00:00:00Z,56.13694,10.12667,11.008,9.261,51.732,11.5,0.319444444
33.2.2020,AARHUS,2020-09-16T00:00:00Z,56.13694,10.12667,11.749,9.976,67.811,15.5,0.360465116
33.3.2020,AARHUS,2020-09-16T00:00:00Z,56.13694,10.12667,11.528,9.05,54.226,15,0.454545455
34.1.2020,AARHUS,2020-09-16T00:00:00Z,56.1375,10.12361,10.997,8.416,51.371,9,0.375
34.2.2020,AARHUS,2020-09-16T00:00:00Z,56.1375,10.12361,9.337,7.346,36.363,9.5,0.413043478
35.1.2020,AARHUS,2020-09-16T00:00:00Z,56.13806,10.12028,14.531,13.582,126,19.5,0.527027027
35.2.2020,AARHUS,2020-09-16T00:00:00Z,56.13806,10.12028,8.225,6.068,21.022,17.5,0.514705882
35.3.2020,AARHUS,2020-09-16T00:00:00Z,56.13806,10.12028,11.208,9.364,58.911,12.5,0.290697674
36.1.2020,AARHUS,2020-09-16T00:00:00Z,56.13722,10.11778,11.679,9.033,47.53,18,0.45
36.2.2020,AARHUS,2020-09-16T00:00:00Z,56.13722,10.11778,10.132,7.961,41.182,13.5,0.329268293
36.3.2020,AARHUS,2020-09-16T00:00:00Z,56.13722,10.11778,10.188,8.207,42.235,15,0.357142857
37.1.2020,AARHUS,2020-09-16T00:00:00Z,56.1375,10.11444,10.87,8.719,48.436,12,0.272727273
37.2.2020,AARHUS,2020-09-16T00:00:00Z,56.1375,10.11444,9.529,6.916,27.257,13,0.433333333
37.3.2020,AARHUS,2020-09-16T00:00:00Z,56.1375,10.11444,11.331,9.176,57.789,12,0.387096774
4.1.2020,AARHUS,2020-09-08T00:00:00Z,56.1525,10.20139,10.448,7.884,36.338,7,0.466666667
40.1.2020,AARHUS,2020-09-16T00:00:00Z,56.13833,10.10528,11.072,8.65,50.138,8.5,0.326923077
40.2.2020,AARHUS,2020-09-16T00:00:00Z,56.13833,10.10528,10.417,8.67,47.726,8,0.163265306
5.1.2020,AARHUS,2020-09-08T00:00:00Z,56.15111,10.19889,10.128,6.7,26.615,16,0.64
5.2.2020,AARHUS,2020-09-08T00:00:00Z,56.15111,10.19889,8.282,5.353,20.617,5,0.277777778
5.3.2020,AARHUS,2020-09-08T00:00:00Z,56.15111,10.19889,8.434,6.097,24.107,7,0.35
6.1.2020,AARHUS,2020-09-08T00:00:00Z,56.15,10.19639,7.57,5.132,17.996,9,0.409090909
6.2.2020,AARHUS,2020-09-08T00:00:00Z,56.15,10.19639,6.941,4.231,9.001,5,0.294117647
7.1.2020,AARHUS,2020-09-08T00:00:00Z,56.14861,10.19444,7.958,5.329,15.87,7.5,0.288461538
7.2.2020,AARHUS,2020-09-08T00:00:00Z,56.14861,10.19444,8.392,6.208,21.834,9,0.391304348
7.3.2020,AARHUS,2020-09-08T00:00:00Z,56.14861,10.19444,9.888,7.765,33.868,15,0.789473684
8.1.2020,AARHUS,2020-09-08T00:00:00Z,56.1475,10.19194,12.09,8.22,42.032,5,0.238095238
9.1.2020,AARHUS,2020-09-14T00:00:00Z,56.14639,10.18972,8.165,6.263,25.046,13,0.371428571
4.3.2021,AARHUS,2021-10-04T00:00:00Z,56.1525,10.20139,8.600485085,5.798428818,NA,NA,0.425925926
21.1.2021,AARHUS,2021-10-06T00:00:00Z,56.13528,10.15778,9.554113626,6.09648303,20.54573777,NA,0.36
8.2.2021,AARHUS,2021-10-04T00:00:00Z,56.1475,10.19194,11.56158029,8.629616756,41.93444142,NA,0.428571429
11.2.2021,AARHUS,2021-10-04T00:00:00Z,56.14389,10.18472,10.2595008,8.01171517,40.49798248,NA,0.5
15.1.2021,AARHUS,2021-10-05T00:00:00Z,56.13917,10.17472,8.46158004,7.475032601,33.53281778,NA,0.344827586
11.1.2021,AARHUS,2021-10-04T00:00:00Z,56.14389,10.18472,10.12903811,8.84612005,43.6087308,NA,0.444444444
15.3.2021,AARHUS,2021-10-05T00:00:00Z,56.13917,10.17472,14.17849714,11.56191253,83.76289989,NA,0.384615385
18.3.2021,AARHUS,2021-10-05T00:00:00Z,56.13667,10.16667,13.88121217,11.20242902,81.17599062,NA,0.325
13.3.2021,AARHUS,2021-10-04T00:00:00Z,56.14139,10.18,12.75235125,10.06566516,60.09107546,NA,0.380952381
40.1.2021,AARHUS,2021-10-05T00:00:00Z,56.13833,10.10528,12.0746782,10.69169659,66.21952642,NA,NA
